date,users,signups,activated_users,paid_users,retained_users,cancelled_users
2026-01-06,4200,380,152,61,3360,12
2026-01-13,4350,410,164,66,3480,15
2026-01-20,4480,395,150,58,3540,18
2026-01-27,4620,430,172,69,3650,22
2026-02-03,4780,450,180,72,3780,25
2026-02-10,4930,470,188,75,3890,28
2026-02-17,5100,490,196,78,4020,30
2026-02-24,5250,510,204,82,4100,33
2026-03-03,5400,530,212,85,4210,36
2026-03-10,5580,550,220,88,4320,40
2026-03-17,5750,570,228,91,4430,44
2026-03-24,5920,590,236,94,4540,48
2026-03-31,6100,610,244,98,4650,52
2026-04-07,6280,630,252,101,4760,56
2026-04-14,6470,650,260,104,4870,60
2026-04-21,6650,670,268,107,4980,65
2026-04-28,6840,690,276,110,5090,70
2026-05-05,7030,710,284,114,5200,75
2026-05-12,7230,730,292,117,5310,80
2026-05-19,7420,750,300,120,5420,85
2026-05-26,7620,770,308,123,5530,90
2026-06-02,7830,790,316,126,5640,95
2026-06-09,8040,810,324,130,5750,100
2026-06-16,8260,830,332,133,5860,105
2026-06-23,8480,850,340,136,5970,110
